Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2_3_4""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:08,2022-02-15 18:20:09,0.550s,PASSED
"click(findTestObject(""kong/Page_Zetta Decision/div__1 - Copy""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:09,2022-02-15 18:20:09,0.452s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/div__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:09,2022-02-15 18:20:10,0.679s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:10,2022-02-15 18:20:11,0.585s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2_3""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:11,2022-02-15 18:20:13,2.042s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input__name""), ""姓名"")",Chrome 98.0.4758.80,,,2022-02-15 18:20:13,2022-02-15 18:20:15,2.072s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Code_code""), ""name"")",Chrome 98.0.4758.80,,,2022-02-15 18:20:15,2022-02-15 18:20:16,0.715s,PASSED
"click(findTestObject(""kong/Page_Zetta Decision/div_ - Copy""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:16,2022-02-15 18:20:16,0.403s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2_3_4""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:16,2022-02-15 18:20:16,0.424s,PASSED
"click(findTestObject(""kong/Page_Zetta Decision/div__1 - Copy""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:16,2022-02-15 18:20:17,0.546s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/div__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:17,2022-02-15 18:20:18,0.654s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:18,2022-02-15 18:20:18,0.689s,PASSED
"click(findTestObject(""Object Repository/kong/Page_Zetta Decision/span__1_2_3""))",Chrome 98.0.4758.80,,,2022-02-15 18:20:18,2022-02-15 18:20:20,1.940s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input__name""), ""兴趣爱好"")",Chrome 98.0.4758.80,,,2022-02-15 18:20:20,2022-02-15 18:20:21,0.705s,PASSED
"setText(findTestObject(""Object Repository/kong/Page_Zetta Decision/input_Code_code""), ""interests"")",Chrome 98.0.4758.80,,,2022-02-15 18:20:21,2022-02-15 18:20:23,1.843s,PASSED
