Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
登录,Chrome 98.0.4758.80,,,2022-02-10 16:25:33,2022-02-10 16:29:39,4m - 5.603s,FAILED
,,,,,,,
Test Cases/登录,Chrome 98.0.4758.80,,,2022-02-10 16:29:33,2022-02-10 16:29:39,5.955s,FAILED
"openBrowser("""")",Chrome 98.0.4758.80,,,2022-02-10 16:29:33,2022-02-10 16:29:36,2.973s,PASSED
"navigateToUrl(""http://121.40.154.50:8049/login"")",Chrome 98.0.4758.80,,,2022-02-10 16:29:36,2022-02-10 16:29:38,2.700s,PASSED
"setText(findTestObject(""Object Repository/Page_Zetta Decision/input_Name_loginName""), ""13666666666"")",Chrome 98.0.4758.80,,,2022-02-10 16:29:38,2022-02-10 16:29:39,0.259s,FAILED
